year,country_code,metric_code,mean,sd,lobound_10,upbound_90
2019,MHL,tort,4.3624263,1.7978057,2.061235,6.6636176
2017,MOZ,tort,3.3635471,.63125116,2.5555456,4.1715484
2018,MOZ,tort,3.2105479,.36264446,2.7463629,3.6747329
2019,MOZ,tort,3.8612356,.5457443,3.162683,4.5597882
2018,NCL,tort,5.4829249,.6878655,4.602457,6.3633928
2019,NCL,tort,5.5362854,.61951554,4.7433057,6.3292651
2018,NIU,tort,7.0219374,1.4798176,5.1277709,8.9161043
2019,NIU,tort,6.9775128,1.4814254,5.0812883,8.8737373
2018,MNP,tort,6.2247972,1.1042075,4.8114119,7.6381826
2019,MNP,tort,6.207912,1.0769687,4.829392,7.586432
2017,NPL,tort,4.3169551,.78649378,3.3102431,5.323667
2018,NPL,tort,3.774147,.42414883,3.2312365,4.3170576
2019,NPL,tort,3.2228572,.55399346,2.5137455,3.9319689
2018,NRU,tort,6.604146,.89959419,5.4526653,7.7556267
2019,NRU,tort,6.6363025,.91634983,5.4633746,7.8092303
2017,NZL,tort,6.6977587,.37257624,6.220861,7.1746564
2018,NZL,tort,6.271841,.22266649,5.9868279,6.5568542
2019,NZL,tort,5.9598107,.27761018,5.6044698,6.3151517
2018,PNG,tort,3.6298809,.58260274,2.8841493,4.3756123
2019,PNG,tort,3.8133595,.57896656,3.0722823,4.5544367
2017,SAU,tort,2.1225727,1.1225188,.68574864,3.5593967
2018,SAU,tort,1.6577319,.42603952,1.1124014,2.2030625
2019,SAU,tort,2.2618372,.595007,1.5002283,3.0234463
2018,SLB,tort,6.2684698,1.0817246,4.8838625,7.6530771
2019,SLB,tort,7.0043206,1.1068826,5.5875111,8.4211302
2018,TON,tort,4.8549294,.70213079,3.956202,5.7536569
2019,TON,tort,5.3279057,.69084746,4.4436207,6.2121906
2017,USA,tort,3.5260715,.5412845,2.8332274,4.2189159
2018,USA,tort,2.7523384,.31085795,2.3544402,3.1502366
2019,USA,tort,2.4428711,.39891496,1.9322599,2.9534822
2017,VEN,tort,2.090076,.63659018,1.2752405,2.9049115
2018,VEN,tort,2.0420792,.31301165,1.6414243,2.442734
2019,VEN,tort,1.7142373,.44789571,1.1409308,2.2875438
2017,VNM,tort,2.3539641,.28726462,1.9862654,2.7216628
2018,VNM,tort,2.5213597,.22609763,2.2319548,2.8107646
2019,VNM,tort,2.7297831,.39608669,2.2227921,3.236774
2018,WSM,tort,5.8311739,.67323673,4.9694309,6.6929169
2019,WSM,tort,5.841526,.6399855,5.0223446,6.6607075
2017,AGO,assem,2.7037432,.48735657,2.0799267,3.3275597
2018,AGO,assem,4.5282526,.37840897,4.043889,5.0126162
2019,AGO,assem,4.8603969,.89142644,3.7193711,6.0014229
2018,ASM,assem,8.4180298,.86181849,7.3149023,9.5211573
2019,ASM,assem,8.4797106,.83296734,7.4135122,9.5459089
2017,AUS,assem,6.954267,.52144861,6.2868128,7.6217213
2018,AUS,assem,6.7509623,.33581811,6.321115,7.1808095
2019,AUS,assem,5.6977916,.50613147,5.0499434,6.3456397
2017,BRA,assem,5.9368439,.71992153,5.0153441,6.8583436
2018,BRA,assem,5.5863934,.38066038,5.0991483,6.0736384
2019,BRA,assem,4.8155441,.44296974,4.2485428,5.3825455
2017,COD,assem,3.0721178,1.2436807,1.4802065,4.6640291
2018,COD,assem,2.6249635,.39137709,2.1240008,3.1259263
2019,COD,assem,5.5801601,.52180278,4.9122524,6.2480679
2018,COK,assem,9.7460823,.74279201,8.7953081,10.696856
2019,COK,assem,9.3132133,.72427046,8.3861475,10.240279
2017,FJI,assem,3.6716568,.64529449,2.84568,4.4976339
2018,FJI,assem,3.746623,.32826445,3.3264446,4.1668015
2019,FJI,assem,3.7442708,.50523084,3.0975754,4.3909664
2017,GBR,assem,7.8747997,.47740608,7.26372,8.4858799
2018,GBR,assem,7.2755346,.26338834,6.9383974,7.6126719
2019,GBR,assem,6.516624,.4235366,5.9744973,7.0587506
2018,GUM,assem,8.003685,.80187947,6.9772792,9.0300903
2019,GUM,assem,7.9792595,.81951827,6.9302759,9.0282431
2017,JOR,assem,3.1658902,1.1494392,1.694608,4.6371722
2018,JOR,assem,3.2728517,.52733439,2.5978637,3.9478397
2019,JOR,assem,3.9580824,.82460785,2.9025843,5.0135803
2017,KAZ,assem,1.2656302,.27342784,.91564262,1.6156179
2018,KAZ,assem,1.8385317,.20826362,1.5719543,2.1051092
2019,KAZ,assem,2.0972726,.23837046,1.7921585,2.4023869
2017,KGZ,assem,5.266551,.50592726,4.6189642,5.9141378
2018,KGZ,assem,6.0858898,.4147867,5.5549626,6.616817
2019,KGZ,assem,5.4645972,.65471745,4.6265588,6.3026357
2017,KOR,assem,7.4907951,.55155772,6.7848015,8.1967888
2018,KOR,assem,7.6979609,.40661871,7.1774888,8.2184324
2019,KOR,assem,7.858202,.81041551,6.8208699,8.8955336
2017,LBR,assem,8.8913403,.84796667,7.805943,9.976738
2018,LBR,assem,6.7532187,.66763341,5.8986478,7.6077895
2019,LBR,assem,4.6528068,.79167205,3.6394665,5.6661468
2017,MEX,assem,5.5030112,.59179187,4.7455177,6.2605047
2018,MEX,assem,5.6840992,.31807217,5.276967,6.0912313
2019,MEX,assem,6.453403,.44705036,5.8811784,7.0256276
2017,MOZ,assem,4.9384966,.92894781,3.7494433,6.1275496
